3 008 678,22cad64d-b7f0-44a3-a0dd-38bb60e69cad,400
3 011 240,d11f8c92-af93-4d0d-bd42-36d1f7f78210,250
3 018 817,df135b44-9eeb-441e-b8db-ce5d6ddef77c,250
3 024 090,e54a68b0-d348-46d5-8b1e-a57f8261bcf4,630
3 024 862,af1ba189-281c-48c9-a7ea-76f04d4348cb,400
3 026 792,c85622d0-243f-4ada-a8a4-529da1860cd9,630
4 006 064,c4aaa250-a39d-4b3c-8b8d-1ea707dab759,250
6 002 056,1b60664f-1131-4177-9dea-77cd77ab97d7,250
6 003 541,b66be8f9-9036-4038-b253-b6cc2d5cdada,400
6 003 560,f5ddc244-a296-4a79-8909-3288c542c8e4,400
7 003 227,afdce30e-7b82-4d72-9a84-6838eb3208cb,250
7 003 288,9d7ecebf-f32d-4f5d-8a13-68c48526f4ca,400
7 003 309,437495e1-dfef-4dd4-ab2e-78155e1297a9,400
3 007 631,5d29527e-fe3f-4a83-a483-5f9123a1bb50,400
4 003 144,07fbd31c-c94a-41b6-b139-b60adc9e1abf,400
